Date : 2022-12-05 22:48:54
Directory : c:\xampp\htdocs\B6Cinemas
Total : 140 files,  9942 codes, 3677 comments, 1609 blanks, all 15228 lines

Languages
+------------+------------+------------+------------+------------+------------+
| language   | files      | code       | comment    | blank      | total      |
| c:\xampp\htdocs\B6Cinemas\B6Website\view\profile\editprofile.php                  | PHP        |        233 |          2 |         14 |        249 |
| c:\xampp\htdocs\B6Cinemas\Exception.php                                           | PHP        |          9 |         28 |          4 |         41 |
| c:\xampp\htdocs\B6Cinemas\README.md                                               | Markdown   |          0 |          0 |          1 |          1 |
| c:\xampp\htdocs\B6Cinemas\autoload.php                                            | PHP        |         20 |          1 |          5 |         26 |
| c:\xampp\htdocs\B6Cinemas\composer.json                                           | JSON       |          5 |          0 |          1 |          6 |
| c:\xampp\htdocs\B6Cinemas\composer.lock                                           | JSON       |         97 |          0 |          1 |         98 |
| c:\xampp\htdocs\B6Cinemas\composer\ClassLoader.php                                | PHP        |        276 |        240 |         57 |        573 |
| c:\xampp\htdocs\B6Cinemas\composer\InstalledVersions.php                          | PHP        |        174 |        131 |         48 |        353 |
| c:\xampp\htdocs\B6Cinemas\composer\autoload_classmap.php                          | PHP        |          6 |          1 |          4 |         11 |
| c:\xampp\htdocs\B6Cinemas\composer\autoload_namespaces.php                        | PHP        |          5 |          1 |          4 |         10 |
| c:\xampp\htdocs\B6Cinemas\composer\autoload_psr4.php                              | PHP        |          6 |          1 |          4 |         11 |
| c:\xampp\htdocs\B6Cinemas\composer\autoload_real.php                              | PHP        |         25 |          4 |         10 |         39 |
| c:\xampp\htdocs\B6Cinemas\composer\autoload_static.php                            | PHP        |         28 |          1 |          8 |         37 |
| c:\xampp\htdocs\B6Cinemas\composer\installed.json                                 | JSON       |         87 |          0 |          1 |         88 |
| c:\xampp\htdocs\B6Cinemas\composer\installed.php                                  | PHP        |         32 |          0 |          1 |         33 |
| c:\xampp\htdocs\B6Cinemas\composer\platform_check.php                             | PHP        |         21 |          1 |          5 |         27 |
| c:\xampp\htdocs\B6Cinemas\email.php                                               | PHP        |         28 |          6 |          7 |         41 |
| c:\xampp\htdocs\B6Cinemas\phpmailer\phpmailer\README.md                           | Markdown   |        167 |          0 |         64 |        231 |
| c:\xampp\htdocs\B6Cinemas\phpmailer\phpmailer\SECURITY.md                         | Markdown   |         19 |          0 |         19 |         38 |
| c:\xampp\htdocs\B6Cinemas\phpmailer\phpmailer\composer.json                       | JSON       |         76 |          0 |          1 |         77 |
| c:\xampp\htdocs\B6Cinemas\phpmailer\phpmailer\get_oauth_token.php                 | PHP        |         99 |         47 |         17 |        163 |
| c:\xampp\htdocs\B6Cinemas\phpmailer\phpmailer\language\phpmailer.lang-af.php      | PHP        |         20 |          4 |          3 |         27 |
| c:\xampp\htdocs\B6Cinemas\phpmailer\phpmailer\language\phpmailer.lang-ar.php      | PHP        |         20 |          5 |          3 |         28 |
| c:\xampp\htdocs\B6Cinemas\phpmailer\phpmailer\language\phpmailer.lang-az.php      | PHP        |         19 |          6 |          3 |         28 |
| c:\xampp\htdocs\B6Cinemas\phpmailer\phpmailer\language\phpmailer.lang-ba.php      | PHP        |         20 |          5 |          3 |         28 |
| c:\xampp\htdocs\B6Cinemas\phpmailer\phpmailer\language\phpmailer.lang-be.php      | PHP        |         19 |          6 |          3 |         28 |
| c:\xampp\htdocs\B6Cinemas\phpmailer\phpmailer\language\phpmailer.lang-bg.php      | PHP        |         20 |          5 |          3 |         28 |
| c:\xampp\htdocs\B6Cinemas\phpmailer\phpmailer\language\phpmailer.lang-ca.php      | PHP        |         19 |          6 |          3 |         28 |
| c:\xampp\htdocs\B6Cinemas\phpmailer\phpmailer\language\phpmailer.lang-cs.php      | PHP        |         22 |          4 |          3 |         29 |
