"filename", "language", "Markdown", "PHP", "JSON", "CSS", "HTML", "XML", "JavaScript", "comment", "blank", "total"
"c:\xampp\htdocs\B6Cinemas\composer\ClassLoader.php", "PHP", 0, 276, 0, 0, 0, 0, 0, 240, 57, 573
"c:\xampp\htdocs\B6Cinemas\composer\InstalledVersions.php", "PHP", 0, 174, 0, 0, 0, 0, 0, 131, 48, 353
"c:\xampp\htdocs\B6Cinemas\composer\autoload_classmap.php", "PHP", 0, 6, 0, 0, 0, 0, 0, 1, 4, 11
"c:\xampp\htdocs\B6Cinemas\composer\autoload_namespaces.php", "PHP", 0, 5, 0, 0, 0, 0, 0, 1, 4, 10
"c:\xampp\htdocs\B6Cinemas\composer\autoload_psr4.php", "PHP", 0, 6, 0, 0, 0, 0, 0, 1, 4, 11
"c:\xampp\htdocs\B6Cinemas\composer\autoload_real.php", "PHP", 0, 25, 0, 0, 0, 0, 0, 4, 10, 39
"c:\xampp\htdocs\B6Cinemas\composer\autoload_static.php", "PHP", 0, 28, 0, 0, 0, 0, 0, 1, 8, 37
"c:\xampp\htdocs\B6Cinemas\composer\installed.json", "JSON", 0, 0, 87, 0, 0, 0, 0, 0, 1, 88
"c:\xampp\htdocs\B6Cinemas\composer\installed.php", "PHP", 0, 32, 0, 0, 0, 0, 0, 0, 1, 33
"c:\xampp\htdocs\B6Cinemas\composer\platform_check.php", "PHP", 0, 21, 0, 0, 0, 0, 0, 1, 5, 27
"c:\xampp\htdocs\B6Cinemas\email.php", "PHP", 0, 28, 0, 0, 0, 0, 0, 6, 7, 41
"c:\xampp\htdocs\B6Cinemas\phpmailer\phpmailer\README.md", "Markdown", 167, 0, 0, 0, 0, 0, 0, 0, 64, 231
"c:\xampp\htdocs\B6Cinemas\phpmailer\phpmailer\SECURITY.md", "Markdown", 19, 0, 0, 0, 0, 0, 0, 0, 19, 38
"c:\xampp\htdocs\B6Cinemas\phpmailer\phpmailer\composer.json", "JSON", 0, 0, 76, 0, 0, 0, 0, 0, 1, 77
"c:\xampp\htdocs\B6Cinemas\phpmailer\phpmailer\get_oauth_token.php", "PHP", 0, 99, 0, 0, 0, 0, 0, 47, 17, 163
"c:\xampp\htdocs\B6Cinemas\phpmailer\phpmailer\language\phpmailer.lang-af.php", "PHP", 0, 20, 0, 0, 0, 0, 0, 4, 3, 27
"c:\xampp\htdocs\B6Cinemas\phpmailer\phpmailer\language\phpmailer.lang-ar.php", "PHP", 0, 20, 0, 0, 0, 0, 0, 5, 3, 28
"c:\xampp\htdocs\B6Cinemas\phpmailer\phpmailer\language\phpmailer.lang-az.php", "PHP", 0, 19, 0, 0, 0, 0, 0, 6, 3, 28
"c:\xampp\htdocs\B6Cinemas\phpmailer\phpmailer\language\phpmailer.lang-ba.php", "PHP", 0, 20, 0, 0, 0, 0, 0, 5, 3, 28
"c:\xampp\htdocs\B6Cinemas\phpmailer\phpmailer\language\phpmailer.lang-be.php", "PHP", 0, 19, 0, 0, 0, 0, 0, 6, 3, 28
"c:\xampp\htdocs\B6Cinemas\phpmailer\phpmailer\language\phpmailer.lang-bg.php", "PHP", 0, 20, 0, 0, 0, 0, 0, 5, 3, 28
"c:\xampp\htdocs\B6Cinemas\phpmailer\phpmailer\language\phpmailer.lang-ca.php", "PHP", 0, 19, 0, 0, 0, 0, 0, 6, 3, 28
"c:\xampp\htdocs\B6Cinemas\phpmailer\phpmailer\language\phpmailer.lang-cs.php", "PHP", 0, 22, 0, 0, 0, 0, 0, 4, 3, 29
"c:\xampp\htdocs\B6Cinemas\phpmailer\phpmailer\language\phpmailer.lang-da.php", "PHP", 0, 26, 0, 0, 0, 0, 0, 7, 3, 36
"c:\xampp\htdocs\B6Cinemas\phpmailer\phpmailer\language\phpmailer.lang-de.php", "PHP", 0, 22, 0, 0, 0, 0, 0, 4, 3, 29
"c:\xampp\htdocs\B6Cinemas\phpmailer\phpmailer\language\phpmailer.lang-el.php", "PHP", 0, 27, 0, 0, 0, 0, 0, 4, 3, 34
"c:\xampp\htdocs\B6Cinemas\phpmailer\phpmailer\language\phpmailer.lang-eo.php", "PHP", 0, 20, 0, 0, 0, 0, 0, 4, 3, 27
"c:\xampp\htdocs\B6Cinemas\phpmailer\phpmailer\language\phpmailer.lang-es.php", "PHP", 0, 20, 0, 0, 0, 0, 0, 5, 3, 28
"c:\xampp\htdocs\B6Cinemas\phpmailer\phpmailer\language\phpmailer.lang-et.php", "PHP", 0, 20, 0, 0, 0, 0, 0, 6, 3, 29
"c:\xampp\htdocs\B6Cinemas\phpmailer\phpmailer\language\phpmailer.lang-fa.php", "PHP", 0, 20, 0, 0, 0, 0, 0, 6, 3, 29
"c:\xampp\htdocs\B6Cinemas\phpmailer\phpmailer\language\phpmailer.lang-fi.php", "PHP", 0, 14, 0, 0, 0, 0, 0, 12, 3, 29
"c:\xampp\htdocs\B6Cinemas\phpmailer\phpmailer\language\phpmailer.lang-fo.php", "PHP", 0, 13, 0, 0, 0, 0, 0, 12, 3, 28
"c:\xampp\htdocs\B6Cinemas\phpmailer\phpmailer\language\phpmailer.lang-fr.php", "PHP", 0, 28, 0, 0, 0, 0, 0, 8, 3, 39
"c:\xampp\htdocs\B6Cinemas\phpmailer\phpmailer\language\phpmailer.lang-gl.php", "PHP", 0, 19, 0, 0, 0, 0, 0, 6, 3, 28
"c:\xampp\htdocs\B6Cinemas\phpmailer\phpmailer\language\phpmailer.lang-he.php", "PHP", 0, 19, 0, 0, 0, 0, 0, 6, 3, 28
"c:\xampp\htdocs\B6Cinemas\phpmailer\phpmailer\language\phpmailer.lang-hi.php", "PHP", 0, 20, 0, 0, 0, 0, 0, 5, 3, 28
"c:\xampp\htdocs\B6Cinemas\phpmailer\phpmailer\language\phpmailer.lang-hr.php", "PHP", 0, 20, 0, 0, 0, 0, 0, 5, 3, 28
"c:\xampp\htdocs\B6Cinemas\phpmailer\phpmailer\language\phpmailer.lang-hu.php", "PHP", 0, 20, 0, 0, 0, 0, 0, 5, 3, 28
"c:\xampp\htdocs\B6Cinemas\phpmailer\phpmailer\language\phpmailer.lang-hy.php", "PHP", 0, 20, 0, 0, 0, 0, 0, 5, 3, 28
"c:\xampp\htdocs\B6Cinemas\phpmailer\phpmailer\language\phpmailer.lang-id.php", "PHP", 0, 22, 0, 0, 0, 0, 0, 7, 3, 32
